iata_code,name,municipality,iso_region,iso_country,continent,latitude_deg,longitude_deg,elevation_ft
BER,Berlin Brandenburg Airport,Berlin,DE-BR,DE,EU,52.362247,13.500672,157
BES,Brest Bretagne Airport,Brest/Guipavas,FR-BRE,FR,EU,48.447899,-4.41854,325
BET,Bethel Airport,Bethel,US-AK,US,NA,60.77980042,-161.8379974,126
BEU,Bedourie Airport,Bedourie,AU-QLD,AU,OC,-24.3461,139.460007,300
BEW,Beira Airport,Beira,MZ-S,MZ,AF,-19.7964,34.9076,33
BEY,Beirut Rafic Hariri International Airport,Beirut,LB-JL,LB,AS,33.82089996,35.48839951,87
BFD,Bradford Regional Airport,Bradford,US-PA,US,NA,41.80310059,-78.64009857,2143
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US-NE,US,NA,41.87400055,-103.5960007,3967
BFI,Boeing Field King County International Airport,Seattle,US-WA,US,NA,47.529999,-122.302002,21
BFJ,Bijie Feixiong Airport,Bijie,CN-52,CN,AS,27.267066,105.472097,4751
BFL,Meadows Field,Bakersfield,US-CA,US,NA,35.433601,-119.056999,510
BFN,Bram Fischer International Airport,Bloemfontain,ZA-FS,ZA,AF,-29.092699,26.302401,4457
BFQ,Bahia Piña Airport,Puerto Piña,PA-5,PA,NA,7.58737,-78.179939,14
BFS,Belfast International Airport,Belfast,GB-NIR,GB,EU,54.65750122,-6.215829849,268
BFV,Buri Ram Airport,Buriram,TH-31,TH,AS,15.2295,103.252998,590
BGA,Palonegro Airport,Bucaramanga,CO-SAN,CO,SA,7.1265,-73.1848,3897
